Time,FSR Reading
1748626973.332511,780
1748626973.4326541,780
1748626973.533243,780
1748626973.633499,780
1748626973.7337034,780
1748626973.833977,779
1748626973.9343705,779
1748626974.034725,779
1748626974.1349292,779
1748626974.235274,779
1748626974.3358567,779
1748626974.4362035,778
1748626974.537132,779
1748626974.6368766,779
1748626974.7373543,778
1748626974.8377066,778
1748626974.9380486,778
1748626975.0384588,778
1748626975.138788,778
1748626975.2390287,777
1748626975.33947,778
1748626975.4398878,778
1748626975.5402086,777
1748626975.6406825,776
1748626975.7410698,776
1748626975.8414488,776
1748626975.941814,775
1748626976.0421307,775
1748626976.1425915,775
1748626976.2429142,775
1748626976.343351,774
1748626976.443718,774
1748626976.5438726,774
1748626976.6444457,773
1748626976.744725,773
1748626976.8450918,772
1748626976.9455187,772
1748626977.045866,771
1748626977.146237,771
1748626977.246506,771
1748626977.346948,771
1748626977.4473672,770
1748626977.5476787,770
1748626977.6480768,770
1748626977.748495,770
1748626977.8488727,769
1748626977.9491773,768
1748626978.049887,768
1748626978.1499746,768
1748626978.250456,768
1748626978.3507235,768
1748626978.4510343,767
1748626978.5514514,767
1748626978.6517742,767
1748626978.7521427,766
1748626978.8525743,766
1748626978.952732,766
1748626979.0537703,765
1748626979.1537192,765
1748626979.2538922,765
1748626979.354408,765
1748626979.4548645,765
1748626979.5556166,764
1748626979.6553946,764
1748626979.7558022,764
1748626979.8562238,764
1748626979.9565988,763
1748626980.0567763,763
1748626980.1574242,763
1748626980.2577221,763
1748626980.357928,763
1748626980.4584208,762
1748626980.5587661,762
1748626980.6590636,762
1748626980.7597425,762
1748626980.8598943,761
1748626980.9601665,761
1748626981.0608604,760
1748626981.1610982,760
1748626981.261344,760
1748626981.3617458,759
1748626981.4621668,759
1748626981.562585,758
1748626981.6632028,758
1748626981.7633533,758
1748626981.863683,758
1748626981.9639482,757
1748626982.0643108,757
1748626982.164768,756
1748626982.2650251,756
1748626982.3656006,756
1748626982.465757,755
1748626982.5661573,755
1748626982.6665788,755
1748626982.766953,755
1748626982.867324,754
1748626982.9675932,754
1748626983.0679462,754
1748626983.16846,754
1748626983.2687662,754
1748626983.3690548,754
1748626983.4695146,753
1748626983.5697668,753
1748626983.670315,753
1748626983.7705936,753
1748626983.8710854,753
1748626983.9713845,753
1748626984.071664,752
1748626984.1721053,752
1748626984.272528,752
1748626984.3729606,752
1748626984.4731886,752
1748626984.5736742,752
1748626984.674057,752
1748626984.7744153,751
1748626984.8751638,751
1748626984.975105,751
1748626985.0755284,751
1748626985.1758482,750
1748626985.276204,750
1748626985.376653,750
1748626985.4768422,750
1748626985.5773215,749
1748626985.6776793,749
1748626985.7781143,749
1748626985.8784914,749
1748626985.978704,748
1748626986.0791185,748
1748626986.1795747,748
1748626986.27984,747
1748626986.380098,748
